Municipios > 100000 hab.;Sexo;Grupo de edad;Total
Cádiz. Jerez de la Frontera;ambos sexos;de 3 a 5 meses;1
Cádiz. Jerez de la Frontera;ambos sexos;de 6 a 8 meses;1
Cádiz. Jerez de la Frontera;ambos sexos;de 9 a 11 meses;..
Cádiz. Jerez de la Frontera;hombres;Total;2
Cádiz. Jerez de la Frontera;hombres;menos de 24 horas;1
Cádiz. Jerez de la Frontera;hombres;de 1 a 6 días;..
Cádiz. Jerez de la Frontera;hombres;de 7 a 27 días;..
Cádiz. Jerez de la Frontera;hombres;de 28 días a 2 meses;..
Cádiz. Jerez de la Frontera;hombres;de 3 a 5 meses;..
Cádiz. Jerez de la Frontera;hombres;de 6 a 8 meses;1
Cádiz. Jerez de la Frontera;hombres;de 9 a 11 meses;..
Cádiz. Jerez de la Frontera;mujeres;Total;2
Cádiz. Jerez de la Frontera;mujeres;menos de 24 horas;..
Cádiz. Jerez de la Frontera;mujeres;de 1 a 6 días;..
Cádiz. Jerez de la Frontera;mujeres;de 7 a 27 días;..
Cádiz. Jerez de la Frontera;mujeres;de 28 días a 2 meses;1
Cádiz. Jerez de la Frontera;mujeres;de 3 a 5 meses;1
Cádiz. Jerez de la Frontera;mujeres;de 6 a 8 meses;..
Cádiz. Jerez de la Frontera;mujeres;de 9 a 11 meses;..
Madrid. Alcalá de Henares;ambos sexos;Total;2
Madrid. Alcalá de Henares;ambos sexos;menos de 24 horas;1
Madrid. Alcalá de Henares;ambos sexos;de 1 a 6 días;1
Madrid. Alcalá de Henares;ambos sexos;de 7 a 27 días;..
Madrid. Alcalá de Henares;ambos sexos;de 28 días a 2 meses;..
Madrid. Alcalá de Henares;ambos sexos;de 3 a 5 meses;..
Madrid. Alcalá de Henares;ambos sexos;de 6 a 8 meses;..
Madrid. Alcalá de Henares;ambos sexos;de 9 a 11 meses;..
Madrid. Alcalá de Henares;hombres;Total;2
Madrid. Alcalá de Henares;hombres;menos de 24 horas;1
Madrid. Alcalá de Henares;hombres;de 1 a 6 días;1
Madrid. Alcalá de Henares;hombres;de 7 a 27 días;..
Madrid. Alcalá de Henares;hombres;de 28 días a 2 meses;..
Madrid. Alcalá de Henares;hombres;de 3 a 5 meses;..
Madrid. Alcalá de Henares;hombres;de 6 a 8 meses;..
Madrid. Alcalá de Henares;hombres;de 9 a 11 meses;..
Madrid. Alcalá de Henares;mujeres;Total;..
